AtomicNumber,Element,Symbol,AtomicWeight,Period,Group,StandardState,MostStableCrystal,Type,IonicRadius,AtomicRadius,Electronegativity,FirstIonizationPotential,OxidationStates,Density,MeltingPointKelvin,BoilingPointKelvin,Isotopes,Discoverer,YearOfDiscovery,SpecificHeatCapacity,ElectronConfiguration,DisplayRow,DisplayColumn,Facts
38,Strontium,Sr,87.62,5,2,Solid,fcc,Alkaline earth metal,1.1,2.5,0.95,5.6949,2,2.64,1042.15,1655,18,"Humphry Davy, Adair Crawford, William Cruickshank",1808,0.301,[Kr]5s2,5,2,"Strontium is a soft, silvery metal that belongs to the alkaline earth metals group. It is widely used in the production of fireworks and flares to create red-colored flames. Strontium compounds are also used in the manufacture of magnets and in medical applications, such as in the treatment of bone disorders. Strontium-90, a radioactive isotope, is a byproduct of nuclear fission and has been used in power sources for remote applications like satellites and pacemakers. Strontium is naturally found in minerals like celestite and is extracted through mining and refining. It is also used in the production of certain types of glass, including the glass for cathode ray tubes in old television sets. While strontium is essential in trace amounts for human health, particularly in bone formation, exposure to high levels of strontium-90 can pose health risks."
39,Yttrium,Y,88.90585,5,3,Solid,hex,Transition metal,0.9,2.3,1.22,6.2173,3,4.469,1799.15,3609,21,Johan Gadolin,1794,0.298,[Kr]5s2 4d1,5,3,"Yttrium is a soft, silvery metal that is commonly used in the electronics industry, particularly in the production of superconductors and semiconductors. It is a key component in the production of phosphors used in color television tubes and LED lights. Yttrium is also used in the manufacture of high-temperature superconducting materials, which are important for developing more efficient energy transmission and powerful magnets. Yttrium is found in rare-earth minerals like monazite and xenotime and is extracted primarily from these ores. The metal is named after the Swedish village of Ytterby, where the mineral was first discovered. While yttrium itself has no significant biological role, its compounds are used in medical imaging and in radiation therapy for certain types of cancer."
40,Zirconium,Zr,91.224,5,4,Solid,hex,Transition metal,0.72,2.2,1.33,6.6339,4,6.506,2125.15,4682,20,Martin Heinrich Klaproth,1789,0.278,[Kr]5s2 4d2,5,4,"Zirconium is a strong, silvery-gray metal that is highly resistant to corrosion, making it ideal for use in environments that are exposed to high temperatures or aggressive chemicals. It is commonly used in the production of nuclear reactors, as it is a key component in the cladding of fuel rods due to its ability to withstand radiation and high heat. Zirconium is also used in the production of high-performance ceramics, including those used in aerospace and medical applications. The metal is primarily obtained from the mineral zircon and is also used in the manufacture of certain types of glass. Zirconium alloys are widely used in industries like chemical processing and in the production of catalysts. Despite being a relatively rare metal, zirconium’s unique properties have made it an essential material in a range of high-tech and industrial applications."
41,Niobium,Nb,92.90638,5,5,Solid,bcc,Transition metal,0.69,2.1,1.6,6.7589,"+5, +3",8.57,2741.15,5017,24,Charles Hatchett,1801,0.265,[Kr]5s1 4d4,5,5,"Niobium is a soft, gray, and ductile metal that is primarily used in superconducting materials and as an alloying element in steel. Its superconducting properties are especially valuable in high-energy physics experiments and medical equipment like MRI machines. Niobium was discovered in 1801 by Charles Hatchett, but it wasn’t until the 20th century that its commercial applications began. It is often found in minerals like columbite and pyrochlore. Niobium’s use in alloys helps enhance the strength and corrosion resistance of steel, especially in the construction of pipelines and bridges. The element is also being researched for use in quantum computing due to its superconducting properties at low temperatures. Niobium shares chemical similarities with another metal, Tantalum."
42,Molybdenum,Mo,95.96,5,6,Solid,bcc,Transition metal,0.65,2,2.16,7.0924,6,10.22,2890.15,4912,20,Carl Wilhelm Scheele,1778,0.251,[Kr]5s1 4d5,5,6,"Molybdenum is a hard, silvery-gray metal with a high melting point, making it ideal for use in steel alloys, particularly in aerospace and automotive applications. It is an essential trace element for living organisms, though only in small amounts. Molybdenum’s resistance to corrosion and high temperatures has made it vital for use in power plants and chemical processing. It is used in producing steel, where it increases strength, toughness, and resistance to wear. Its discovery dates back to the late 18th century, and it is named after the Greek word “molybdos,” meaning lead, because of its similarity to lead ores. Molybdenum is also involved in the biological processes of certain bacteria, where it plays a crucial role in nitrogen fixation. Its use in high-performance metal alloys is vital for the aerospace industry, and it is often found in products like turbine blades and military vehicles."
43,Technetium,Tc,98,5,7,Solid,hex,Transition metal,0.56,2,1.9,7.28,"+7, +6, +4",11.5,2473.15,5150,23,"Emilio Segrè, Carlo Perrier",1937,,[Kr]5s2 4d5,5,7,"Technetium is a radioactive element and was the first to be artificially produced in 1937 by Italian scientists Carlo Perrier and Emilio Segrè. It has no stable isotopes and is a byproduct of nuclear reactors. Technetium is most famous for its use in medical imaging, particularly in nuclear medicine, where it is used in radiopharmaceuticals for scanning organs and tissues. It is used in a variety of diagnostic procedures, including bone scans and heart imaging. Because of its high radioactivity, technetium must be handled with care, and it decays into stable isotopes over time. The element is also found in trace amounts in certain stars, formed during the process of nucleosynthesis. Technetium's role in nuclear science has been fundamental in advancing both medical and scientific research."
44,Ruthenium,Ru,101.07,5,8,Solid,hex,Transition metal,0.68,1.9,2.2,7.3605,3,12.37,2523.15,4423,16,Karl Ernst Claus,1844,0.238,[Kr]5s1 4d7,5,8,"Ruthenium is a rare, silvery-white metal belonging to the platinum group of elements. It is highly resistant to corrosion and is used in various industrial applications, including electrical contacts, hydrogenation reactions, and in catalytic converters. Ruthenium's discovery in 1844 by the Russian chemist Karl Ernst Claus contributed to the understanding of the platinum group metals. It is often used as a catalyst in chemical reactions, especially in the petroleum industry. Ruthenium is also critical in the electronics industry, where it is employed to make contacts and components that can withstand high temperatures. While it is not as widely known as platinum, ruthenium plays an important role in reducing pollutants in vehicle emissions and in several industrial chemical processes. Ruthenium is used in jewelry for its durability and reflective properties, and its compounds are also studied for potential use in cancer treatment."
45,Rhodium,Rh,102.9055,5,9,Solid,fcc,Transition metal,0.68,1.8,2.28,7.4589,3,12.41,2239.15,3968,20,William Hyde Wollaston,1803,0.243,[Kr]5s1 4d8,5,9,"Rhodium is a rare, silvery-white metal that is known for its high reflectivity and corrosion resistance. It is one of the most valuable and rare metals on Earth, often used in automotive catalytic converters to reduce harmful emissions. Rhodium is part of the platinum group of metals and is used as a catalyst in chemical reactions, particularly in hydrogenation and hydroformylation. It is also used in the production of jewelry due to its shine and resistance to tarnish. The metal is often alloyed with platinum and palladium to enhance its durability and appearance. Rhodium was discovered in 1803 by William Hyde Wollaston, who isolated it from platinum ores. Despite its rarity, rhodium’s applications in industrial and environmental processes make it highly sought after, particularly in the automotive and manufacturing industries."
46,Palladium,Pd,106.42,5,10,Solid,fcc,Transition metal,0.86,1.8,2.2,8.3369,"+3, +2",12.02,1825.15,3236,21,William Hyde Wollaston,1803,0.244,[Kr]4d10,5,10,"Palladium is a soft, silvery-white metal that is used in a variety of applications, from automotive catalytic converters to electronics and jewelry. It is part of the platinum group of metals and is known for its ability to absorb hydrogen, making it useful in hydrogen storage and purification technologies. Palladium was discovered in 1803 by William Hyde Wollaston, and its name is derived from the asteroid Pallas. In addition to its use in catalytic converters, palladium is important in the manufacturing of fuel cells and as a catalyst in the chemical industry, particularly in hydrogenation reactions. It is also used in jewelry and watches due to its lustrous appearance and hypoallergenic properties. Palladium's ability to absorb large amounts of hydrogen without altering its structure has made it vital in research for future clean energy solutions."
47,Silver,Ag,107.8682,5,11,Solid,fcc,Transition metal,1.3,1.8,1.93,7.5762,1,10.501,1234.15,2435,27,Prehistoric,,0.235,[Kr]5s1 4d10,5,11,"Silver is one of the most well-known precious metals, valued for its beauty and rarity. It has been used for thousands of years in currency, jewelry, and tableware. Silver is an excellent conductor of electricity and heat, making it indispensable in electronics, solar panels, and batteries. Its antimicrobial properties are utilized in medical devices, wound dressings, and water purification systems. Historically, silver was used in coinage and as a standard for monetary systems. The element’s name comes from the Latin word “argentum,” meaning “white” or “shiny,” reflecting its bright luster. Silver is also involved in chemical processes as a catalyst and is used in the production of mirrors due to its reflective properties. Silver is less abundant than gold, but it remains highly valuable, with demand driven by both industrial and aesthetic uses."
48,Cadmium,Cd,112.411,5,12,Solid,hex,Transition metal,0.97,1.7,1.69,8.9938,2,8.69,594.33,1040,22,"Friedrich Stromeyer, Karl Samuel Leberecht Hermann",1817,0.232,[Kr]5s2 4d10,5,12,"Cadmium is a soft, bluish-white metal that is toxic and poses environmental and health risks. It is primarily used in rechargeable batteries, particularly in nickel-cadmium (NiCd) batteries, which were commonly used in portable electronics and power tools. Cadmium is also found in pigments, coatings, and in some plastic stabilizers. The element’s high toxicity is of major concern, especially in its exposure through soil, water, and air pollution. It is associated with kidney damage, lung cancer, and bone demineralization when inhaled or ingested in large quantities. Due to its environmental impact, the use of cadmium in products like batteries is being phased out in many countries, with alternatives such as lithium-ion batteries taking its place. In industrial settings, cadmium is used in the production of solar panels, but it requires careful handling and disposal due to its harmful effects. Despite these concerns, cadmium still has niche uses in certain industries, though its potential for harm continues to raise alarms."
49,Indium,In,114.818,5,13,Solid,tet,Post-transition metal,0.8,2,1.78,5.7864,3,7.31,429.91,2345,34,Ferdinand Reich,1863,0.233,[Kr]5s2 4d10 5p1,5,13,"Indium is a soft, silvery-white metal with a low melting point and excellent corrosion resistance. It is primarily used in the production of flat-panel displays, including liquid crystal displays (LCDs) and touchscreens, where it is alloyed with tin to form indium tin oxide (ITO). This compound is crucial for making transparent conductive films used in displays and solar cells. Indium is also used in the electronics industry for soldering materials and semiconductors. The metal’s discovery dates back to 1863, and it was named after the indigo color of its spectral lines. Indium’s applications are growing due to the rise in demand for electronic devices and renewable energy technologies. Although it is rare in the Earth's crust, indium is often recovered as a byproduct of zinc mining. It is also used in high-performance bearings and as a component in some alloys designed for low-temperature use."
50,Tin,Sn,118.71,5,14,Solid,tet,Post-transition metal,0.69,1.7,1.96,7.3439,"+4, +2",7.287,505.21,2875,28,Prehistoric,,0.228,[Kr]5s2 4d10 5p2,5,14,"Tin is a soft, silvery-white metal known for its corrosion resistance and low melting point. Historically, it has been used since ancient times in the production of bronze, an alloy of copper and tin that was pivotal in early tool and weapon making. Today, tin is primarily used in the form of tinplate for coating steel, as well as in solders, particularly for electronics. Tin has excellent ductility and is highly resistant to corrosion, making it ideal for food cans and roofing materials. It also plays a key role in the production of various alloys, such as solder (a mixture of tin and lead, although lead-free solders are increasingly used). The element is also used in the manufacturing of glass, especially for producing mirrors. Tin's low toxicity has made it a safer alternative in many applications where lead was once used. Its symbol, ""Sn,"" comes from the Latin word ""stannum,"" which was used for the metal in ancient times."
51,Antimony,Sb,121.76,5,15,Solid,rho,Metalloid,0.76,1.5,2.05,8.6084,"+5, +3, -3",6.685,904.05,1860,29,Early historic times,,0.207,[Kr]5s2 4d10 5p3,5,15,"Antimony is a metalloid with a gray, lustrous appearance and is often used in flame retardants, lead alloys, and batteries. It has been known since ancient times and was used by the Egyptians as an eye makeup, known as kohl. Antimony compounds are also used in the manufacture of semiconductors, where they help improve the performance of components like diodes and transistors. It is primarily used in alloys, where it strengthens lead and makes it more durable and less prone to corrosion. Although it has limited industrial uses, antimony is also a critical component in the production of batteries, especially in the lead-antimony batteries used in backup power supplies. Its toxicity, particularly in its trivalent form, has led to concerns about its environmental impact and worker safety. Despite this, antimony’s applications in electronics, military technology, and batteries make it a valuable resource in several high-tech industries. Its name comes from the Greek word ""anti"" (not) and ""monos"" (alone), reflecting its unusual chemical properties when isolated in pure form."
52,Tellurium,Te,127.6,5,16,Solid,hex,Metalloid,0.97,1.4,2.1,9.0096,"+6, +4, -2",6.232,722.8,1261,29,"Martin Heinrich Klaproth, Franz-Joseph Müller von Reichenstein",1782,0.202,[Kr]5s2 4d10 5p4,5,16,"Tellurium is a brittle, silvery-white metalloid that is primarily used in the production of semiconductors and thermoelectrics. It is an essential component in solar panel technology, where it is used in thin-film photovoltaic cells. Tellurium is also used in alloys, especially in the production of steel and copper, where it improves machinability. Its high thermoelectric efficiency makes it valuable in devices that convert heat to electricity. Discovered in 1782 by Franz-Joseph Müller von Reichenstein, it was later recognized as an important element in the field of electronics. Tellurium’s compounds are used in pigments for ceramics and glass, giving them a yellow color. It is relatively rare in the Earth’s crust but is often obtained as a byproduct of copper and gold refining. While tellurium has some toxic properties, its industrial applications in clean energy technologies make it an important element in the drive for renewable energy."
53,Iodine,I,126.90447,5,17,Solid,orth,Halogen,2.2,1.3,2.66,10.4513,"+7, +5, +1, -1",4.93,386.65,457.4,24,Bernard Courtois,1811,0.214,[Kr]5s2 4d10 5p5,5,17,"Iodine is a halogen element that is essential for human health, particularly for the production of thyroid hormones. Its deficiency in the diet can lead to goiter, a condition characterized by the enlargement of the thyroid gland. Iodine is most commonly found in iodized salt, which helps prevent iodine deficiency worldwide. The element also has a wide range of industrial uses, including in the production of dyes, disinfectants, and photographic chemicals. Iodine is used in medical treatments, such as in iodine-based contrast agents for imaging procedures and in the treatment of thyroid diseases. In its elemental form, iodine is a dark purple solid that sublimates directly into a purple gas. Its discovery dates back to the early 19th century, and it was named after the Greek word “iodes,” meaning violet. Iodine compounds are also used in the synthesis of pharmaceuticals and in organic chemistry."
54,Xenon,Xe,131.293,5,18,Gas,gas,Noble gas,,1.2,,12.1298,0,0.005887,161.45,165.03,31,"William Ramsay, Morris Travers",1898,0.158,[Kr]5s2 4d10 5p6,5,18,"Xenon is a colorless, odorless, and dense noble gas that is used in a variety of lighting applications, including high-intensity discharge lamps, such as those found in car headlights and stadium lights. It is also used in xenon arc lamps, which are used for photographic flashbulbs and in certain types of movie projectors. Xenon has unique applications in medicine, where it is used as an anesthetic and in certain types of imaging procedures, such as for scanning the brain in PET (positron emission tomography) scans. Despite its relatively low abundance in the Earth's atmosphere, xenon is critical in the development of high-performance lamps and lasers. The element was discovered in 1898 by Sir William Ramsay and Morris Travers, who isolated it from the Earth's atmosphere. Xenon is chemically inert and forms a small number of compounds, making it distinct from other noble gases. It is also used in ion propulsion systems for spacecraft, where its high atomic mass makes it suitable for space travel."
55,Cesium,Cs,132.9054519,6,1,Solid,,Alkali metal,1.7,3.3,0.79,3.8939,1,1.873,301.7,944,22,"Gustav Kirchhoff, Robert Bunsen",1860,0.242,[Xe]6s1,6,1,"Cesium is an alkali metal with a soft, silvery-gold appearance and is highly reactive, especially with water. It is most commonly used in atomic clocks, which are crucial for precise timekeeping and GPS systems. Cesium-based atomic clocks are among the most accurate timekeepers ever created, providing the standard for the measurement of time. Cesium is also used in the oil and gas industry, where it serves as a component of drilling fluids. Its role in the production of certain types of radiation detectors and in the treatment of cancer makes it important in medical applications. Cesium was discovered in 1860 by Robert Bunsen and Gustav Kirchhoff through its characteristic blue spectral lines. The element’s high reactivity makes it dangerous to handle, especially when exposed to air or moisture, as it can ignite spontaneously. Despite its hazardous nature, cesium’s uses in technology and industry are essential for modern science and industry."
56,Barium,Ba,137.327,6,2,Solid,bcc,Alkaline earth metal,1.4,2.8,0.89,5.2117,2,3.594,1002.15,2170,25,"Humphry Davy, Carl Wilhelm Scheele",1808,0.204,[Xe]6s2,6,2,"Barium is a heavy, alkaline-earth metal that is primarily used in the oil and gas industry, in the form of barium sulfate, to weigh down drilling fluids. It is also used in the production of certain chemicals and in medical imaging. Barium sulfate, in particular, is used in radiology as a contrast medium for X-ray imaging of the gastrointestinal tract, as it is opaque to X-rays. Barium compounds are employed in the production of fireworks, where they impart a bright green color to the flames. The metal itself is highly reactive, especially with oxygen and water, and must be handled with care. Barium was first isolated in 1808 by Sir Humphry Davy. Though barium compounds can be toxic if ingested or inhaled, barium sulfate is non-toxic when used in medical applications. The element is also used in producing certain glass types and in the manufacture of cement, where it helps improve the material’s durability."
57,Lanthanum,La,138.90547,6,3,Solid,hex,Lanthanide,1.1,2.7,1.1,5.5769,3,6.145,1193.15,3737,19,Carl Gustaf Mosander,1839,0.195,[Xe]6s2 5d1,8,3,"Lanthanum is a soft, malleable metal that is part of the rare earth elements group, which are critical for modern electronics and green technologies. It is used in the production of high-intensity carbon arc lamps and in hydrogen storage alloys. Lanthanum is also employed as a catalyst in petroleum refining, where it helps break down crude oil into usable fuels. Lanthanum’s compounds, such as lanthanum oxide, are used in the manufacture of glass, including in lenses for cameras and microscopes. Discovered in 1839 by Carl Gustaf Mosander, lanthanum is the first element in the lanthanide series. Its applications in catalysts and battery technologies are becoming increasingly important as the demand for clean energy grows. Lanthanum is also found in some rare minerals, including monazite and bastnäsite. Despite its relatively low toxicity, its compounds must still be handled carefully due to their potential to cause respiratory issues if inhaled."
58,Cerium,Ce,140.116,6,19,Solid,fcc,Lanthanide,1,2.7,1.12,5.5387,"+4, +3",6.77,1071.15,3716,19,"Jöns Jacob Berzelius, Martin Heinrich Klaproth, Carl Gustaf Mosander",1803,0.192,[Xe]6s2 4f1 5d1,8,4,"Cerium is another rare earth metal that is widely used as a catalyst in the automotive industry and in the production of petroleum products. It plays a key role in catalytic converters, where it helps reduce emissions by facilitating the oxidation of carbon monoxide and hydrocarbons. Cerium is also used in the production of glass, where it serves to polish the surface and improve clarity, particularly in optical lenses and televisions. The metal is used in certain types of rechargeable batteries and in manufacturing alloys for high-temperature applications. Discovered in 1803 by Martin Heinrich Klaproth, cerium was named after the asteroid Ceres. Cerium oxide is also used as a polishing agent in the manufacture of electronic components and in the cleaning of delicate optical surfaces. Cerium compounds have been studied for their potential in cancer treatment due to their ability to interact with free radicals. As a member of the lanthanide series, cerium is a critical element in many advanced technological applications."
59,Praseodymium,Pr,140.90765,6,20,Solid,hex,Lanthanide,1,2.7,1.13,5.473,3,6.773,1204.15,3793,15,Carl Auer von Welsbach,1885,0.193,[Xe]6s2 4f3,8,5,"Praseodymium is a soft, silvery metal that is part of the lanthanide series and has a wide range of uses, particularly in high-strength magnets and alloy production. It is commonly used in aerospace and military applications to produce strong, lightweight alloys, especially in aircraft engines. Praseodymium is also used to create powerful magnets in electric motors and generators. One of its most famous applications is in the production of yellow-green glass and in certain types of welding goggles, where it helps filter out harmful ultraviolet light. The metal was discovered in 1885 by Carl Auer von Welsbach. Its alloys are also used in the production of metal halide lamps, which are used for street lighting and in projectors. Praseodymium compounds, such as praseodymium oxide, are important for industrial processes, including petroleum refining. While it is not as well-known as other rare earth elements, its use in advanced technologies, particularly in the clean energy sector, is growing."
60,Neodymium,Nd,144.242,6,21,Solid,hex,Lanthanide,1,2.6,1.14,5.525,3,7.007,1289.15,3347,16,Carl Auer von Welsbach,1885,0.19,[Xe]6s2 4f4,8,6,"Neodymium is a rare earth element known for its exceptional magnetic properties. It is used in the production of powerful permanent magnets, particularly in electric motors, wind turbines, and hard disk drives. Neodymium magnets are among the strongest magnets available and are essential in many advanced technologies. The metal is also used in laser systems, such as those used in medical procedures and in fiber optic communications. Neodymium was discovered in 1885 by Carl Auer von Welsbach, and its name comes from the Greek words “neos” (new) and “demos” (people), reflecting its discovery as a new element. Neodymium is also found in certain types of glass, where it serves to impart a yellow color and improve optical properties. Neodymium-based alloys are used in aerospace and defense industries for their strength and lightweight properties. Due to its importance in green technologies, such as electric vehicles and renewable energy, neodymium's demand is expected to increase in the future."
61,Promethium,Pm,145,6,22,Solid,hex,Lanthanide,0.98,2.6,1.13,5.582,3,7.26,1204.15,3273,14,"Jacob A. Marinsky, Charles D. Coryell, Lawrence E. Glendenin",1945,,[Xe]6s2 4f5,8,7,"Promethium is a rare, radioactive element that is not found in significant amounts on Earth, but rather is produced artificially in nuclear reactors. It is used in certain types of atomic batteries, which power satellites and space probes. Promethium is also used in research and has applications in phosphorescent paints and as a heat source in some specialized instruments. The element was discovered in 1945 by Jacob Marinsky, Lawrence Glendenin, and Charles Coryell, who isolated it from uranium ores. Promethium’s radioactive properties make it valuable in a variety of applications, but also make it hazardous to handle. Due to its scarcity and radioactive nature, its commercial applications are limited. Promethium is one of the rare earth elements, and despite its rarity, it plays a crucial role in nuclear energy research and space exploration. It has no stable isotopes and is typically used in its isotope form."
62,Samarium,Sm,150.36,6,23,Solid,hex,Lanthanide,0.96,2.6,1.17,5.6437,"+3, +2",7.52,1345.15,2067,17,Paul-Émile Lecoq de Boisbaudran,1879,0.197,[Xe]6s2 4f6,8,8,"Samarium is a rare earth metal that is primarily used in the production of powerful permanent magnets and in the nuclear industry. Samarium cobalt magnets are among the strongest magnets available and are used in applications requiring high temperature and magnetic stability, such as in motors and generators. Samarium is also used in the production of phosphors for fluorescent lighting and as a catalyst in certain chemical reactions. The metal was discovered in 1853 by Carl Auer von Welsbach, who named it after the mineral samarskite, from which it was extracted. Samarium isotopes are used in the treatment of certain types of cancer, particularly bone cancer, due to their ability to emit beta particles. The element is also used in the production of certain types of glass and in advanced technologies like lasers. While not as well-known as other rare earth elements, samarium’s strong magnetic properties make it essential for high-performance applications."
63,Europium,Eu,151.964,6,24,Solid,bcc,Lanthanide,0.95,2.6,1.2,5.6704,"+3, +2",5.243,1095.15,1802,21,"Paul-Émile Lecoq de Boisbaudran, Eugène-Anatole Demarçay",1901,0.182,[Xe]6s2 4f7,8,9,"Europium is a rare, silvery-white rare earth element that is most notable for its use in phosphorescent and fluorescent applications. It is an important component of phosphors used in color televisions, computer screens, and fluorescent lamps. Europium compounds emit red and blue light when exposed to ultraviolet light, which is why it is used in the production of screens that require precise color reproduction. The element was discovered in 1896 by Eugène-Anatole Demarçay, who named it after the continent of Europe. Europium is also utilized in some types of lasers and in the production of certain nuclear reactors, where it helps in neutron capture. Europium’s role in research into advanced materials and lighting technologies continues to grow, particularly as the demand for energy-efficient displays and lighting increases. While europium is relatively rare in the Earth’s crust, its applications in electronics and lighting make it a valuable resource in modern technology."
64,Gadolinium,Gd,157.25,6,25,Solid,hex,Lanthanide,0.94,2.5,1.2,6.1501,3,7.895,1585.15,3546,17,"Paul-Émile Lecoq de Boisbaudran, Jean Charles Galissard de Marignac",1880,0.236,[Xe]6s2 4f7 5d1,8,10,"Gadolinium is a soft, silvery-white rare earth metal known for its excellent magnetic properties. It is widely used in magnetic resonance imaging (MRI) as a contrast agent to improve the clarity of scans, particularly in imaging soft tissues. Gadolinium is also used in nuclear reactors, where it serves as a neutron absorber, helping to control nuclear fission reactions. Discovered in 1880 by Johan Gadolin, gadolinium was named after him. The element is used in phosphors for color television tubes and fluorescent lamps, as well as in certain types of lasers and semiconductors. Gadolinium is also used in the production of high-performance magnets and in some advanced electronics. In addition to its applications in medicine and technology, gadolinium plays a key role in the field of research into new materials, especially in superconductivity. While gadolinium is relatively abundant in rare earth minerals, its uses in medical and industrial technologies make it a critical element for modern science."
65,Terbium,Tb,158.92535,6,26,Solid,hex,Lanthanide,0.92,2.5,1.2,5.8638,3,8.229,1630.15,3503,24,Carl Gustaf Mosander,1843,0.182,[Xe]6s2 4f9,8,11,"Terbium is a soft, silvery-gray rare earth metal that is primarily used in the production of phosphors for fluorescent lamps and displays. Terbium compounds are used in green phosphorescence, making it a critical component in color television screens and energy-efficient lighting. The metal is also employed in the production of high-strength magnets and in the development of certain types of electronic materials. Terbium was discovered in 1843 by Carl Gustav Mosander, who isolated it from the mineral ytterbite, which is also the source of several other rare earth elements. Terbium is used in the electronics industry to improve the performance of devices like lasers, semiconductors, and optical fibers. It also plays a role in the development of advanced technologies for renewable energy and electric vehicles, where its high magnetic and optical properties are beneficial. Although relatively rare, terbium’s importance in electronics, lighting, and green technologies makes it valuable for future developments."
66,Dysprosium,Dy,162.5,6,27,Solid,hex,Lanthanide,0.91,2.5,1.22,5.9389,3,8.55,1680.15,2840,21,Paul-Émile Lecoq de Boisbaudran,1886,0.17,[Xe]6s2 4f10,8,12,"Dysprosium is a rare earth metal with a high melting point and is used in a variety of high-tech applications, including the production of permanent magnets. Dysprosium is essential for the development of magnets that can operate at high temperatures, such as those used in electric motors and wind turbines. It is also used in nuclear reactors, where it helps absorb neutrons and control reactions. Discovered in 1886 by Paul-Émile Lecoq de Boisbaudran, dysprosium is one of the rare earth elements, which are crucial for many modern technologies. The element is also used in the production of advanced electronic materials, including laser systems and semiconductors. Dysprosium's unique properties make it valuable in research into new materials for energy storage, electronics, and clean energy technologies. As demand for these technologies increases, dysprosium is expected to play an even more critical role in future innovations."
67,Holmium,Ho,164.93032,6,28,Solid,hex,Lanthanide,0.9,2.5,1.23,6.0215,3,8.795,1743.15,2993,29,"Per Teodor Cleve, Marc Delafontaine, Jacques-Louis Soret",1878,0.165,[Xe]6s2 4f11,8,13,"Holmium is a rare earth metal that is notable for its use in certain types of lasers, particularly in medical and industrial applications. Holmium lasers are used in urology, dentistry, and for precise cutting in surgery. The element is also used in the production of strong magnets, as it has one of the highest magnetic moments of any element. Discovered in 1878 by Per Theodor Cleve, holmium is named after the city of Stockholm, Sweden (Holmia in Latin). Holmium is used in the creation of certain types of optical fibers and in the production of high-performance electronic devices. It is also used as a neutron absorber in nuclear reactors. Despite its rare occurrence in nature, holmium’s unique magnetic and optical properties have made it essential in scientific research and in specialized medical treatments. The element’s future applications are likely to expand as research into new technologies and energy systems continues to grow."
68,Erbium,Er,167.259,6,29,Solid,hex,Lanthanide,0.88,2.5,1.24,6.1077,3,9.066,1795.15,3503,16,Carl Gustaf Mosander,1843,0.168,[Xe]6s2 4f12,8,14,"Erbium is a soft, silvery-white rare earth metal that is used in various applications, particularly in fiber optics and telecommunications. Erbium-doped fiber amplifiers are a key component of modern fiber-optic communication systems, where they are used to boost signal strength over long distances. The element is also used in lasers, which have applications in medicine, particularly in dermatology and dentistry. Erbium is also used in the production of alloys, especially those used in nuclear reactors, where it helps absorb neutrons. Discovered in 1843 by Carl Gustav Mosander, erbium was named after the Swedish village of Ytterby, which is the source of many rare earth elements. The element is also used in the manufacture of high-performance glass, which is used in optics and lenses. Erbium’s versatility in both medical and technological applications makes it one of the most important rare earth elements in modern science and industry."
69,Thulium,Tm,168.93421,6,30,Solid,hex,Lanthanide,0.87,2.4,1.25,6.1843,3,9.321,1818.15,2223,18,Per Teodor Cleve,1879,0.16,[Xe]6s2 4f13,8,15,"Thulium is a rare, silvery-gray metal that is the least abundant of the lanthanide elements. It has a variety of applications, including the production of certain types of lasers, which are used in medical treatments, such as for the removal of kidney stones. Thulium is also used in the development of magnetic materials and in some high-performance alloys. The element was discovered in 1879 by Per Theodor Cleve, who named it after Thule, a mythical northern land. Thulium’s laser properties make it useful in medical devices, and it is also employed in some radiation therapy treatments for cancer. Its high absorption cross-section for neutrons makes it useful in certain types of nuclear reactors. Despite its rarity, thulium plays a key role in several high-tech applications, particularly in the fields of medicine, electronics, and energy. Its potential in advancing technology and research continues to grow as new applications are discovered."
70,Ytterbium,Yb,173.054,6,31,Solid,fcc,Lanthanide,0.86,2.4,1.1,6.2542,"+3, +2",6.965,1097.15,1469,16,Jean Charles Galissard de Marignac,1878,0.155,[Xe]6s2 4f14,8,16,"Ytterbium is a rare earth metal with unique properties that make it valuable in a variety of scientific and technological applications. It is used in fiber-optic technology, where its ions help increase the efficiency of lasers, particularly in applications requiring high-energy pulses, such as in industrial cutting and medical treatments. Ytterbium is also used in the creation of alloys, where it improves strength and hardness, and in the production of certain types of superconductors. Discovered in 1878 by Carl Auer von Welsbach, it was named after the Swedish village of Ytterby, which is known for being the source of many rare earth elements. Ytterbium's isotopes are also used in research related to quantum computing and atomic clocks, due to their ability to create stable and precise measurements. The element is also employed in some radiation detection devices, as well as in the production of high-performance catalysts. Although relatively rare, ytterbium's diverse applications in advanced technology and research make it a significant element for future innovations in science and industry."
